Depertment ,Question,Answer,Explanation,source
Neuroblastoma and Related Tumors,"An otherwise healthy 18-year-old female is diagnosed with high-risk neuroblastoma after
presenting with fatigue and bony pain. Imaging findings demonstrate a left adrenal mass with
multiple osseous metastases. She successfully completes standard therapy for high-risk
neuroblastoma, but experiences several episodes of disease recurrence and ultimately dies of
her disease 10 years after her initial diagnosis. During her treatment, her tumor was sent for
molecular analysis. Of the following, what molecular aberration was most likely to have been
detected?
A. ETV6-NTRK3 gene fusion
B. PTPN11 mutation
C. ATRX mutation
D. WT1 mutation
E. MYCN amplification",C. ATRX mutation,"Inactivating mutations in the ATRX chromatin remodeling gene are found in 14% of patients with
high-risk neuroblastoma and in 44% of adolescent and adult patients with metastatic
neuroblastoma. In addition to the association with older age at diagnosis, this mutation is
57
associated with an indolent disease course and poor overall survival, as is seen in this patient’s
case. ETV6-NTRK3 gene fusions are characteristic of infantile fibrosarcoma and cellular
congenital mesoblastic nephroma. Although NTRK aberrations can be seen in neuroblastoma,
this specific fusion product is not. PTPN11 mutations are seen in neuroblastoma, particularly in
patients with a germline mutation and phenotypic evidence of Noonan’s syndrome. These
mutations are also not associated with older age or an indolent disease course. WT1 mutations are
not associated with neuroblastoma. MYCN amplification is incorrect because the incidence of
MYCN amplification is low in older patients with neuroblastoma (approximately 3%), whereas
the incidence of ATRX mutations is higher. Of note, ATRX mutations are mutually exclusive of
MYCN amplification in neuroblastoma.",100mcq's
Wilms’ Tumor and Other Renal Tumors,"A 2-year-old girl has a diagnosis of overall stage IV favorable histology Wilms’ tumor with
pulmonary metastases and local stage III disease due to finding positive lymph nodes. After
she completes 6 weeks of vincristine/dactinomycin/doxorubicin (DD4A) chemotherapy,
restaging shows complete resolution of some but not all lung nodules. Tumor genetic testing
reveals combined loss of heterozygosity for 1p and 16q.
Which of the following would be the most appropriate treatment plan?
A. Continue chemotherapy with vincristine, doxorubicin, and dactinomycin to complete 25
weeks of therapy. Administer radiation to lungs and flank.
B. Continue chemotherapy with vincristine, doxorubicin and dactinomycin to complete 25
weeks of therapy. Radiation to flank only. No lung radiation.
C. Continue chemotherapy with vincristine, doxorubicin and dactinomycin, add
cyclophosphamide and etoposide to complete 33 weeks of therapy. Radiation to flank
only. No lung radiation.
D. Continue chemotherapy with vincristine, doxorubicin and dactinomycin, add
cyclophosphamide and etoposide to complete 33 weeks of therapy. Radiation to lungs
and flank.
E. Continue chemotherapy with vincristine, doxorubicin and dactinomycin to complete 25
weeks. Whole abdomen radiation and lung radiation.","D. Continue chemotherapy with vincristine, doxorubicin and dactinomycin, add
cyclophosphamide and etoposide to complete 33 weeks of therapy. Radiation to lungs
and flank.","Choices A, and B are incorrect as treatment with 5 drugs is superior to 3 drugs with lung
radiation in patients with stage IV FHWT with either slow incomplete response, or pulmonary
metastases, and/or in patients with combined loss of heterozygosity (LOH; 1p and 16q). Option
C is incorrect because lung radiation therapy (RT) is indicated both for patients with LOH of 1p
and 16q and for patients with slow incomplete response of pulmonary lesions.
Option D is correct because the use of vincristine/dactinomycin/doxorubicin (DD4A) with the
addition of cyclophosphamide and etoposide (Regimen M), along with lung radiation, was
shown to improved event-free survival (EFS) and overall survival (OS) from treatment with DD4A and radiation therapy for patients with stage IV FHWT with slow incomplete response of
pulmonary nodules, as well as for the group of patients with combined LOH of 1p and 16q. As
this patient has both risk factors, Regimen M chemotherapy and appropriate radiotherapy fields
would be the recommended therapy.
Option E is incorrect as whole abdomen radiation is not indicated for stage III local disease due
to positive lymph nodes and as noted above, the addition of cyclophosphamide and etoposide
improves clinical outcomes in patients with stage III and IV disease with combined LOH of 1p
and 16q.",100mcq's
Wilms’ Tumor and Other Renal Tumors,"A 3-month-old female presents to the emergency room with vomiting and abdominal
distension. She has a left-side abdominal mass, and an abdominal ultrasound confirms an 8-
cm mass arising from the left kidney. Liver lesions are also noted. Nephrectomy is performed
and reveals a histologic diagnosis of malignant rhabdoid tumor of the kidney (MRTK).
Which of the following is not a true statement about the management of this patient?
A. Most patients with rhabdoid tumor of the kidney present in infancy.
B. Most patients with rhabdoid tumor of the kidney present with metastatic (stage III or IV)
disease.
C. She has an excellent prognosis with surgery, chemotherapy, and radiation.
D. Germline testing for SMARCB1/INI1 mutation on chromosome 22 is recommended,
with brain MRI every 3 months until she is 5 years old, if testing is germline positive for
SMARCB1/INI1.
E. EZH2 methyltransferase inhibitors are under investigation as potential therapeutic agents
for rhabdoid tumors because of their mechanism of action.","C. She has an excellent prognosis with surgery, chemotherapy, and radiation.","Options A and B are both true statements, so they are incorrect.
Option C is the correct answer because this is not a true statement. Prognosis is poor for patients
with renal rhabdoid tumor despite intensive chemotherapy, surgery, and radiation; it is especially
poor for young infants with metastatic disease.
Option D is a true statement. Patients with rhabdoid tumor should be offered germline testing for
SMARCB1 (also known as INI1) on chromosome 22 because patients with germline mutations
have an increased risk to develop rhabdoid tumors in the brain.
Answer E is also a true statement, as EZH2 inhibition blocks the oncogenic proliferation in some
tumors INI1 mutations, and is under investigation in therapeutic trials for MRTK.",100mcq's
 Wilms’ Tumor and Other Renal Tumors,"A 3-year-old nonsyndromic, well-appearing male with no significant past medical history
presents with an abdominal mass palpated by his mother when giving him a bath. CT
imaging reveals a 9-cm right renal mass without involvement of the inferior vena cava (IVC)
and no evidence of tumor thrombus by ultrasound. The left kidney appears normal, and there
is no imaging evidence of tumor rupture or adherence to surrounding organs. There are
diffuse, bilateral pulmonary metastases from which he is asymptomatic with a normal
respiratory rate and no supplemental oxygen requirement. Following the National Wilms
Tumor Study Group (NWTS)/Children’s Oncology Group (COG) approach to pediatric renal
tumors, which of the following are appropriate next steps?
A. Core biopsy of the renal mass followed by three drug chemotherapy—vincristine,
actinomycin, and doxorubicin
B. Nephrectomy with lymph node sampling followed by chemotherapy based on histology
and stage
C. Fine-needle aspiration followed by three drug chemotherapy—vincristine, actinomycin,
and doxorubicin
D. Neoadjuvant three drug chemotherapy—vincristine, actinomycin and doxorubicin—
followed by nephrectomy at week 6
E. Neoadjuvant three drug chemotherapy—vincristine, actinomycin, and doxorubicin—
followed by diagnostic biopsy at week 6 if primary tumor is showing good response to
therapy","B. Nephrectomy with lymph node sampling followed by chemotherapy based on histology
and stage","By age and presentation, this patient most likely has favorable-histology Wilms’ tumor (FHWT)
with pulmonary metastases; however, this can only be confirmed by histologic diagnosis. With
this presentation, other pediatric renal tumors remain in the differential, including diffuse
anaplastic Wilms’ tumor, clear cell sarcoma of the kidney, or malignant rhabdoid tumor.
The National Wilms Tumor Study Group (NWTS)/Children’s Oncology Group (COG)
recommends upfront nephrectomy over biopsy for all patients (except bilateral or bilaterally
predisposed) when feasible. Although the patient has pulmonary metastases, and her disease is
therefore designated as overall stage IV, the local stage (kidney) may still be stage I or II. There
is no evidence of tumor thrombus (extending to above the level of the hepatic veins), and the
tumor is below the size at which risk of intraoperative rupture is increased (12-14 cm). If the
diagnosis of this patient is FHWT, with upfront nephrectomy, depending upon intraoperative
findings and lymph node status, this patient may be spared flank radiation if stage I or II for
nephrectomy.
Option A is incorrect. Although option A can be an appropriate approach in some presentations
of renal tumors, following the NWTS/COG approach, upfront biopsy is not recommended when
nephrectomy is possible. Option C is incorrect. Fine-needle aspirations are always discouraged
for tissue diagnosis in renal tumors because they are inadequate for obtaining important tumor
biology and often inadequate for histologic diagnosis. Option D is incorrect. This approach could
be appropriate according to treatment guidelines of The International Society of Paediatric
Oncology (SIOP), which would recommend initiation of chemotherapy with vincristine,actinomycin, and doxorubicin; however, these drugs would only be appropriate if the diagnosis
is FHWT. This is not the recommended NWTS/COG approach. Option E is incorrect because
this management approach is not recommended from either group.",100mcq's
Clinical Pharmacology and Targeted Therapies,"A 2-month-old girl is found to have a small, hard mass on her scalp. The mass increases in
size over the next 4 weeks. A biopsy is performed that confirms a diagnosis of embryonal
rhabdomyosarcoma. You initiate chemotherapy with vincristine, dactinomycin, and
cyclophosphamide. The child presents to clinic for day 1 of cycle 3 of chemotherapy, and the
mass on her scalp is smaller. She is afebrile, absolute neutrophil count is 1,405 cells/mcL,
platelet count is 154,000/mcL, and total bilirubin is 0.8 mg/dL. Her mother reports she looks
very tired because her eyelids have been “very droopy,” and she thinks she has a sore throat
because her cry is hoarse. Her last bowel movement was 2 days ago.
What is the most appropriate chemotherapy plan?
A. Continue vincristine, dactinomycin, and cyclophosphamide at full dosage.
B. Do not administer any chemotherapy; rhabdomyosarcoma is progressing and she needs
different therapy.
C. Administer dactinomycin and cyclophosphamide but hold the vincristine and reevaluate
weekly. If the ptosis and hoarse cry resolve, vincristine can be resumed with a dose
reduction and, if tolerated, re-escalated to the full dose in the future.
D. Administer dactinomycin and cyclophosphamide but discontinue vincristine permanently.
E. Administer vincristine and cyclophosphamide but do not administer dactinomycin; the
ptosis is due to dactinomycin.","C. Administer dactinomycin and cyclophosphamide but hold the vincristine and reevaluate
weekly. If the ptosis and hoarse cry resolve, vincristine can be resumed with a dose
reduction and, if tolerated, re-escalated to the full dose in the future.","Vincristine causes peripheral neuropathy, which in infants presents as bilateral ptosis, hoarse cry,
los of deep tendon reflexes, and constipation. In older children and adults, foot drop and
paresthesia occur. If vincristine is temporarily held until symptoms resolve, it then can be
resumed at partial or full dose. Dactinomycin causes myelosuppression and liver dysfunction.
Cyclophosphamide causes myelosuppression.",100mcq's
Clinical Pharmacology and Targeted Therapies,"A 12-year-old patient with localized osteosarcoma is being treated with cisplatin,
doxorubicin, and high-dose methotrexate. The pain at his primary site rapidly resolves after
initiation of chemotherapy. After tumor resection, pathology reveals the tumor was greater
than 95% necrotic. You want to continue cisplatin, doxorubicin, and high-dose methotrexate.
Which of the following is the best answer regarding the evaluations that should be performed
to monitor for toxicity in patients receiving cisplatin, doxorubicin, and high-dose
methotrexate?
A. Complete blood count, creatinine, liver function tests
B. Complete blood count, serum electrolytes (sodium, potassium, BUN, chloride), and EKG
to monitor for prolonged QTc
C. Complete blood count, creatinine, serum magnesium, audiogram, and echocardiogram
D. Complete blood count, creatinine, serum magnesium, chest x-ray
E. Complete blood count, creatinine, serum magnesium, audiogram","C. Complete blood count, creatinine, serum magnesium, audiogram, and echocardiogram","Cisplatin is associated with high-frequency hearing loss, which can be symptomatic with tinnitus
and requires periodic monitoring with audiogram. Cisplatin also causes decreases in glomerular
filtration rate and cation wasting frequently resulting in hypomagnesemia. Although
hypomagnesemia can predispose a patient to prolonged QTc, that is a secondary effect.
Doxorubicin causes myelosuppression as well as a late effect of decreased left ventricular
ejection fraction measured by echocardiogram. High-dose methotrexate is contraindicated in
patients with significant acute or chronic kidney disease. Elevated serum creatinine should
prompt further evaluation of renal function prior to administration of high-dose methotrexate.",100mcq's
Clinical Pharmacology and Targeted Therapies,"A 9-year-old boy is being treated for standard-risk acute lymphoblastic leukemia. His
treatment protocol calls for administration of intravenous methotrexate and intramuscular Lasparaginase
during interim maintenance chemotherapy.
What is the most appropriate sequence of drug administration?
A. Administer L-asparaginase during the methotrexate infusion.
B. Administer L-asparaginase immediately after the methotrexate infusion.
C. Administer both drugs at the same time to maximize synergistic activity.
D. Administer methotrexate 24 hours after the asparaginase.
E. Administer the L-asparaginase 24 hours after the methotrexate.",E. Administer the L-asparaginase 24 hours after the methotrexate.,"L-asparaginase can prevent methotrexate toxicity, probably by interfering with the formation of
methotrexate polyglutamates intracellularly. Therefore, L-asparaginase is administered 24 hours
after methotrexate and is the rationale behind the Capizzi I regimen. The reverse sequence (Lasparaginase
followed by methotrexate) or concomitant administration of both drugs can
abrogate the anticancer effect of methotrexate.",100mcq's
Hemoglobinopathies,"You have a new patient consult in clinic this morning. The referral packet includes the
newborn screen report, which is flagged abnormal hemoglobinopathy screen, F, A, Bart’s,
refer to hematology, and a complete blood count done at 4 years of age with a hemoglobin of
10 g/dL and an MCV of 68. The pediatrician has informed the parents the child has some
form of alpha thalassemia. The older brother had the same newborn screen results but had a
normal complete blood count when checked. The mother wants to know why her second
child has an abnormal complete blood count when she and her husband do not have any
blood problems. How would you respond to the child’s mother?
A. The mother and father are both silent carriers and each passed a deleted alpha globin
allele to their child. The child inherited a trans-deletion genotype alpha thalassemia trait.
B. The mother has cis deletion alpha thalassemia and the father has no alpha globin deletion,
giving the child alpha thalassemia trait.
C. Neither parent has an alpha globin deletion; this was a new spontaneous mutation causing
alpha thalassemia in the child.
D. Both parents carry cis deletions in the alpha globin gene cluster.",A. The mother and father are both silent carriers and each passed a deleted alpha globin,"Alpha globin deletions causing alpha thalassemia minor may be inherited in the cis (deletion on
the same allele) or trans (deletion on both the maternal and paternal allelles). Option A is the
correct answer because individuals with one deleted alpha globin are called silent carriers and
will have no hematologic abnormalities on complete blood count. Hemoglobin Bart’s is only
detected at or near birth. If the offspring inherits both parental alleles with one missing alpha
globin gene, the child will still inherit two functioning alpha globin, which is consistent with
alpha thalassemia trait. Option B is incorrect because if the mother has a cis deletion, then she
only has two functioning alpha globin, which would cause changes to her complete blood count,
and she would have alpha thalassemia trait and not be a silent carrier. Option C is incorrect
because the spontaneous loss of two alpha globin genes, one from each parental gamete, would
be statistically unlikely, or the loss of two alpha globin on the same allele for one parental
gamete. Option D is incorrect because (a) the parents would have abnormal blood counts, and (b)
they have one child who had hemoglobin Bart’s but now has a normal complete blood count.",100mcq's
Hemoglobinopathies,"A 14-year-old Syrian male with beta thalassemia major has relocated to your community as a
refugee. He has been receiving chronic transfusion therapy in Turkey for the past 3 years. On
his first visit, you notice that his height is below the fifth percentile. He has skin discoloration
and hepatosplenomegaly. His mother reports they have not had regular access to chelation
therapy. Laboratory testing shows a serum ferritin of 6,200 ng/mL. A cardiac MRI shows
grossly normal cardiac function but a T2* value of 9 ms.
What is the most likely cause of his short stature?
A. Lack of regular blood transfusion causing growth failure
B. Cirrhosis and liver failure
C. Ineffective erythropoiesis and chronic anemia
D. Growth hormone deficiency due to iron deposition in the pituitary
E. Adrenal insufficiency",D. Growth hormone deficiency due to iron deposition in the pituitary,"Iron overload damages a number of tissues, including the liver, heart, and endocrine glands.
Hepatic toxicity includes fibrosis, cirrhosis, and liver failure. Endocrinopathies include diabetes
mellitus, growth hormone deficiency, hypogonadism, hypothyroidism, and adrenal insufficiency.
Recommended routine care of thalassemia includes monitoring of thyroid hormone, parathyroid,
and vitamin D starting at age 6 years and to add sex hormones such as testosterone, estradiol,
LH, and FSH from age 10 years through puberty.",100mcq's
Hemoglobinopathies,"A 7-year-old Hispanic male is referred to the hematology consult service by his pediatrician
because of concern for hemoglobinopathy. In his records, you find a hemoglobin
electrophoresis performed last year which shows hemoglobin A 78% and hemoglobin F 22%.
His complete blood count is normal, and he has normal growth and development. Which of
the following is true for this patient?
A. There is no diagnosis. These values are normal in children.
B. He has delta-beta thalassemia because he has an elevated hemoglobin F level.
C. Delta-beta thalassemia does not cause microcytosis.
D. Hereditary persistence of fetal hemoglobin results in pancellular hemoglobin F
distribution.",D. Growth hormone deficiency due to iron deposition in the pituitary,"Fetal hemoglobin (hemoglobin F [alpha2 gamma2]) is the major hemoglobin present during
gestation and constitutes approximately 60% to 80% of total hemoglobin in the full-term
newborn. After birth, a hemoglobin switch occurs, and gamma globin production decreases
while beta globin increases, leading to increasing levels of adult hemoglobin, or hemoglobin A.
Most people have less than 2% hemoglobin F by the time they are 2 years old. Hereditary
persistence of fetal hemoglobin (HPFH) is a benign condition with a wide range of hemoglobin F
production from a few percentage in nondeletional HPFH, which produces heterocellular
hemoglobin F, to up to 30% in deletional HPFH with pancellular hemoglobin F production.",100mcq's
Blood Coagulation Overview and Acquired Hemorrhagic Disorders,". Which of the following is a key feature of Facto XIII?
A. Its half-life is about 10 days.
B. It is an important activator of thrombin.
C. Its levels are normal in newborns.
D. It is part of the contact activation system.
E. Low levels result in a prolonged PT and PTT.",A. Its half-life is about 10 days.,"Factor XIII has some unique properties that differentiate it from the other clotting factors, and a
key feature is its very long half-life, making A the correct answer. This is important when
considering the management of Factor XIII deficiency. In addition, a deficiency of Factor XIII
does not prolong the PT and PTT, making it the only factor deficiency that results in a normal PT
and PTT, thus E is incorrect. It is not part of the contact activation system (Factor XI and Factor
XII are), and it is activated by thrombin and not vice versa, making D and B incorrect. Lastly,
similar to most of the clotting factors, its levels are low in the newborn period, making C
incorrect as well.",100mcq's
Blood Coagulation Overview and Acquired Hemorrhagic Disorders,"Which of the following characteristics are similar with respect to Factor VIII and von
Willebrand factor (vWF)?
A. Both are made in endothelial cells and megakaryocytes.
B. Both are activated by thrombin.
C. They are present in normal to high relative amounts in newborns.
D. They are stored in Weibel-Palade bodies in endothelial cells.
E. A deficiency of either one prolongs the PTT.",C. They are present in normal to high relative amounts in newborns.,"Factor VIII and vWF circulate as a complex in the blood, and both are present in normal to high
amounts in newborns, making C the correct answer. Option A is incorrect because Factor VIII is
not made in megakaryocytes, and B is incorrect because vWF is not activated by thrombin.
Thrombin cleaves Factor VIII from vWF and activates, but vWF circulates as an active protein,
although it stays in a dormant form until it binds to subendothelial collagen. vWF is stored in
Weibel-Palade bodies but not Factor VIII, so D is incorrect, and a deficiency of vWF without a
concomitant reduction in Factor VIII does not prolong the PTT. A severe enough deficiency,
however, will result in low circulating Factor VIII levels because Factor VIII is required to be
bound to vWF, so a prolonged PTT can result from the low Factor VIII. The majority of patients
with type 1 von Willebrand disease, however, can have a quite low vWF level but a normal
Factor VIII level, and therefore their PTT is normal.",100mcq's
Blood Coagulation Overview and Acquired Hemorrhagic Disorders,"Which of the following alters the function of thrombin from a procoagulant protein to one
that downregulates the formation of fibrinogen?
A. Protein C
B. Protein S
C. Antithrombin
D. Thrombomodulin (*)
E. Factor V",D. Thrombomodulin (*),"Thrombin is the key enzyme in the coagulation system. Its activation results in numerous
prothrombotic steps (activation of Factor VIII to Factor VIIIa, cleaving fibrinogen to fibrin,
activating Factor XIII and thrombin activatable fibrinolysis inhibitor); however, thrombin also
plays a key role in limiting the coagulation reaction to the site of endothelial disruption. It does
so by binding to thrombomodulin, which is a surface protein that is present on intact endothelial
cells (ie, ones from whom bleeding is not occurring). This makes option D the correct answer.
Although proteins C and S are key regulators of more thrombin generation, their activation is
driven by the binding of thrombin to thrombomodulin—they do not in and of themselves alter
the function of thrombin, although their activity ultimately does reduce further thrombin
generation. Antithrombin does inhibit thrombin by directly binding to it and forming thrombinantithrombin
complexes, which nullify the activity of each, but antithrombin does not alter
thrombin’s function, so option C is also incorrect. Factor V serves to activate thrombin and does
the opposite of what the question is asking, making option E incorrect.",100mcq's
Inherited Bleeding Disorders,"A 4-year-old girl with a history of recurrent epistaxis and easy bruising is referred to you for
evaluation. She is found to have a prolonged PTT and a factor VIII level that is less than 1%.
Both parents have a history of excessive bleeding. She is admitted with a severe episode of
epistaxis, and your colleague orders 40 IU/kg of recombinant factor VIII. Her epistaxis
resolves initially but within an hour starts again at the same severity as before.
What is the best next step?
A. Infuse a von Willebrand factor concentrate.
B. Give another dose of recombinant factor VIII concentrate.
C. Call otorhinolaryngology to pack her nose.
D. Check for a factor VIII inhibitor.
E. Administer desmopressin.",A. Infuse a von Willebrand factor concentrate.,"There are two key points in this scenario. First, the patient is a girl, which makes it highly
unlikely she would have severe hemophilia because of the X-linked inheritance pattern. Second,
66
both parents have a history of excessive bleeding, suggesting an autosomal recessive pattern of
inheritance. Finally, she does not respond appropriately to a recombinant factor VIII concentrate.
Such a patient probably has type 3 von Willebrand disease because they have exceedingly low,
even unmeasurable factor VIII levels, but it is inherited in autosomal recessive pattern, meaning
boys and girls are affected equally. Therefore, the next best step is to infuse a von Willebrand
factor concentrate. More factor VIII an hour after the first dose will not help because in the
absence of von Willebrand factor, the half-life of infused factor VIII is extremely low. Asking
otorhinolaryngology to help is not out of the question, but it will not solve the underlying
problem, which is absence of von Willebrand factor. She is unlikely to have an inhibitor, because
she had some response to the infused factor VIII, and desmopressin, although helpful in type 1
von Willebrand disease, will not help in type 3 because it works by releasing von Willebrand
factor from its storage area, and this patient does not have any von Willebrand factor to release.",100mcq's
Inherited Bleeding Disorders,"A 12-year-old girl presents to your clinic with significant menstrual bleeding at the onset of
menarche and is noted to have a hemoglobin of 9.9, although she is not symptomatic from
her anemia. Her mother reports that she has a history of epistaxis when she was a child with
some episodes lasting 30 minutes and that she also has heavy menstrual bleeding. Which of
the following tests will lead to the most likely diagnosis?
A. Factor XI level
B. Factor X level
C. Factor XIII level
D. Ristocetin cofactor activity
E. Fibrinogen level",D. Ristocetin cofactor activity,"Heavy menstrual bleeding at the onset of menarche is a common presentation for bleeding
disorders in adolescent girls, and the most common bleeding disorder that results in such
symptoms is von Willebrand disease (VWD). The diagnosis of VWD can be made with the
ristocetin cofactor activity assay, making D the correct answer. While the other answers can all
lead to a diagnosis of a bleeding disorder, deficiencies of Factor X and Factor XIII and
fibrinogen are very rare. Factor XI deficiency is more common, especially among Ashkenazi
Jews, but does not usually lead to bleeding symptoms in the absence of surgery or trauma.",100mcq's
Inherited Bleeding Disorders,"A newborn male has severe bleeding after circumcision, resulting in the need for a blood
transfusion. You are called to consult on this child, and you diagnose him with severe
hemophilia A. Upon taking a family history, you note that no other family members have
hemophilia, other bleeding disorders, or a bleeding diathesis. Which of the following is the
most likely outcome of genotyping the Factor VIII gene?
A. No mutation will be found because there is no family history.
B. A missense mutation in the F8 gene will be identified.
C. An inversion mutation in the F8 gene will be identified.
D. A nonsense mutation in the F8 gene will be found.
E. A large deletion of the F8 gene will be found.",C. An inversion mutation in the F8 gene will be identified.,"By far the most common mutations in severe hemophilia A are inversion mutations, with an
inversion of intron 22 being the most common, accounting for approximately 45% of the
mutations in severe hemophilia, making C the correct answer. The other mutations in options B,
D, and E all do occur but are much less common individually. Option A is incorrect because the
lack of a family history does not mean this patient won’t have a mutation. On very rare
occasions, no mutation in the F8 gene is found upon genotyping, but this is most likely
technique-related, and with improved sequencing techniques, such instances are becoming even
less common.",100mcq's
Transfusion Medicine,"A 16-year-old female patient with severe factor XI deficiency presents with acute
appendicitis and requires urgent surgery. You are called by the surgeon, who wants to know
what, if any, blood products or treatments are required to reduce the risk of perioperative
bleeding. The patient weighs 62 kg. What should you tell him to administer?
A. Cryoprecipitate (five units), which will likely raise her factor XI level to 20%
B. Factor XI concentrate (20 units/kg), which will raise her factor XI level to 20%
C. Fresh frozen plasma (20 mL/kg), which will raise her factor XI level to 20%
D. Prothrombin complex concentrate (40 units/kg), which will raise her factor XI level to
20%
E. Apheresis platelets at 10 mL/kg, which will raise factor XI level to 20% from the release
of factor XI stored in platelet alpha granules","C. Fresh frozen plasma (20 mL/kg), which will raise her factor XI level to 20%","Fresh frozen plasma is the only blood product that contains factor XI. Typically, 1 mL/kg of
fresh frozen plasma will raise the factor level by 1%. Therefore, 20 mL/kg will increase factor XI
level to 20%.
Cryoprecipitate contains fibrinogen and factors VIII and XIII, but not factor XI. Prothrombin
complex concentrates contain factors II, IX, and X ± VII. Factor XI is neither produced by nor
stored in platelets. There is no commercially available factor XI concentrate.",100mcq's
Transfusion Medicine,"A 10-year-old patient with aplastic anemia, who is blood type B negative, is receiving a red
blood cell transfusion. About 10 minutes after the transfusion starts, the patient develops
anxiety and lower back pain. The transfusion continues for another 5 minutes until it is
stopped when he develops a temperature of 40 °C with chills and rigors. A transfusion
reaction work-up is most likely to reveal what findings?
A. Spherocytes on peripheral blood smear
B. Gram-negative Bacillus on gram stain of remaining RBC unit
C. Chest x-ray with bilateral pulmonary infiltrates that are new compared to an x-ray done
last week
D. DAT positive for C3
E. Antibody screen positive for anti-Jka antibodies",D. DAT positive for C3,"The combination of fever, anxiety, and back pain within the first 10 to 15 minutes of a red blood
cell transfusion is most consistent with an acute hemolytic transfusion reaction due to ABO
incompatibility. Patients who have type B blood will have anti-A antibodies that will fix
complement, leading to rapid intravascular hemolysis. Therefore, he will have a DAT positive
for C3 (complement). Answer A describes IgG-mediated extravascular hemolysis that can either
be due to autoimmune hemolytic anemia or delayed hemolytic transfusion reaction, which is
typically 1 to 28 days after transfusion. Spherocytes are seen with a DHTR, not an ABOincompatible
AHTR. Answer B describes a septic transfusion reaction, which can present with
fever but is more likely to also present with hypotension rather than anxiety or flank pain.
Answer C describes the x-ray findings of a patient with transfusion-related acute lung injury
(TRALI), which can present with fever but also respiratory symptoms. Answer E describes what
may be found in a patient with delayed transfusion reaction due to evanescent anti-Jka antibodies
that were not detected on the initial screening test.",100mcq's
Transfusion Medicine,"A laboratory study is conducted to determine the optimal usage of platelets for transfusion.
The blood bank inventory along with the transfusion records and medical records of subjects
who were recipients of platelet transfusion are reviewed. Which of the following conclusions
is most likely to be made from this study?
A. Frozen storage of platelets helps increase the units available.
B. Platelet transfusions are rarely successful in patients with autoimmune thrombocytopenia.
C. Platelet units carry no risk for transmission of hepatitis C infection.
D. Pooled donor platelets are preferred over single-donor platelets.
E. Platelet transfusion is not indicated above a level of 10,000/mcL.",B. Platelet transfusions are rarely successful in patients with autoimmune thrombocytopenia.,"Autoimmune thrombocytopenia is typically caused by antibodies against ubiquitous platelet
antigens; therefore, transfused platelets are likely to be destroyed via the same mechanism as the
patient’s own platelets. Platelets are stored at room temperature, not frozen. Platelet units can
transmit all bloodborne pathogens, including hepatitis C. There is no significant advantage
69
between whole blood–derived and apheresis platelets; each has advantages and disadvantages
compared with the other. In most patients with hypoproliferative thrombocytopenia, a platelet
transfusion threshold of 10,000/mcL is appropriate; however, many clinical situations may alter
this threshold, including planned surgical or invasive procedures, medications such as
anticoagulation, recent history, or current bleeding complications.",100mcq's
Transfusion Medicine,"A 14-year-old male patient is diagnosed with very high risk acute lymphoblastic leukemia
and is likely going to require an allogeneic hematopoietic stem cell transplant to cure his
leukemia. Prior to going to transplant, he is likely to require multiple blood transfusions.
Which of the following products or component modifications is the best way to prevent him
from developing alloimmunization due to anti-HLA antibodies prior to transplant?
A. Frozen RBCs
B. Volume-reduced blood products
C. Irradiation of all blood products
D. Monthly IVIg infusions
E. Leukoreduced blood products",E. Leukoreduced blood products,"Avoidance of transfusions is the most effective way to reduce risk of alloimmunization;
however, it may not be practical in patients receiving intensive chemotherapy regimens for
hematologic malignancies. Leukoreduction of all blood products is effective in reducing
contaminating WBCs, which have the highest density of HLA antigens on their surfaces. Frozen
RBCs, while effective in reducing contaminating WBCs, are not a practical approach for
transfusing patients unless they have hard-to-match RBC transfusion needs. Monthly IVIg
infusions will neither prevent nor treat HLA alloimmunization. Irradiation is effective in
preventing transfusion-associated graft-versus-host disease (TA-GVHD), but does not affect
incidence of HLA alloimmunization.",100mcq's
Thrombotic Disorders,"You receive a phone call that a 3-year-old patient on long-term warfarin therapy for
congenital heart disease has an international normalized ratio (INR) of 5.8. On further
history, you learn the patient and several family members have had recent gastrointestinal
illnesses, but the patient is recovering. His mother reports he is not experiencing bleeding
symptoms.
Which of the following interventions would be most reasonable in this clinical scenario?
A. Hold 1 to 2 doses of warfarin and recheck INR
B. Administer oral vitamin K therapy
C. Administer fresh frozen plasma (FFP)
D. Administer recombinant factor VIIa
E. Administer prothrombin complex concentrates (PCCs)",A. Hold 1 to 2 doses of warfarin and recheck INR,"Holding warfarin is a reasonable approach for this patient who is not bleeding, is at low risk of
subsequent bleeding, and is recovering from his gastrointestinal illness. Vitamin K reverses the
action of warfarin but can lead to over-correction. Fresh frozen plasma (FFP) and prothrombin
complex concentrates (PCCs) contain vitamin K–dependent proteins but are only indicated in
patients with active bleeding or when urgent reversal is required (eg, need for emergency
surgery). Evidence does not indicate that recombinant factor VIIa is an effective antidote for
warfarin, and this intervention is also associated with a high risk of thrombosis.",100mcq's
